id,district,plot.number,plot.part,taxpayer.men,taxpayer.women,no.tax.men,no.tax.women,in.russia.men,in.russia.women,total.men,total.women,owner,rent,other,orthodox,other.christian,other.religion,draftee
257,1,50,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
258,1,50,,1,1,1,4,0,0,2,5,6,1,0,7,0,0,0
259,1,50,,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0
260,1,50,,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0
261,1,50,,1,2,2,4,0,0,3,6,8,1,0,0,0,0,0
262,1,50,,1,1,0,2,0,0,1,3,4,0,0,0,0,0,0
263,1,50,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
264,1,50,,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0
265,1,51,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
266,1,51,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
267,1,51,,1,3,0,2,0,0,1,5,4,2,0,0,0,0,0
268,1,51,,1,3,1,0,0,0,2,3,3,2,0,0,0,0,0
269,1,51,,1,2,0,0,0,0,1,2,2,1,0,0,0,0,0
270,1,51,,1,4,1,1,0,0,2,5,4,3,0,0,0,0,0
271,1,51,,1,3,2,1,0,0,3,4,5,2,0,0,0,0,0
272,1,51,,0,3,0,0,0,0,0,3,1,2,0,0,0,0,0
273,1,51,,1,4,1,3,0,0,2,7,6,3,0,0,0,0,0
274,1,51,,1,1,0,1,0,0,1,2,0,3,0,0,0,0,0
275,1,51,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
276,1,51,,1,1,3,0,0,0,4,1,5,0,0,0,0,0,0
277,1,51,,1,1,0,1,0,0,1,2,0,3,0,0,0,0,0
278,1,51,,2,2,1,0,0,0,3,2,0,5,0,0,0,0,0
279,1,52,,2,6,0,4,0,0,2,10,3,9,0,0,0,0,0
280,1,52,,2,1,0,1,0,0,2,2,4,0,0,0,4,0,1
281,1,52,,1,4,1,2,0,0,2,6,5,3,0,0,0,0,0
282,1,52,,1,5,2,0,0,0,3,5,0,8,0,0,0,0,0
283,1,52,,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0
284,1,52,,0,3,0,0,0,0,0,3,2,1,0,2,0,0,0
285,1,52,,1,2,2,3,0,0,3,5,0,8,0,0,0,0,0
286,1,52,,1,1,0,2,0,0,1,3,4,0,0,0,0,0,0
287,1,52,,1,1,2,2,0,0,3,3,0,0,6,0,0,0,0
288,1,53,,1,4,2,1,0,0,3,5,5,3,0,0,0,0,0
289,1,53,,1,2,1,0,0,0,2,2,2,2,0,0,0,0,0
290,1,53,,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0
291,1,53,,1,1,3,1,0,0,4,2,6,0,0,1,0,0,0
292,1,53,,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0
293,1,53,,1,4,1,0,0,0,2,4,4,2,0,0,0,0,0
294,1,53,,7,12,0,0,0,0,7,12,2,17,0,0,0,0,0
295,1,53,,3,4,1,1,0,0,4,5,4,5,0,0,0,0,0
296,1,53,,3,2,0,0,0,0,3,2,0,0,5,0,0,0,0
297,1,54,,5,1,1,0,0,0,6,1,7,0,0,6,0,0,0
298,1,54,,1,1,1,1,0,0,2,2,4,0,0,4,0,0,0
299,1,54,,0,1,1,1,0,0,1,2,3,0,0,0,0,0,0
300,1,54,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
